,relax_label,functional,label,relax_work,relaxed,energy,energy_fu,nform,volume,volume_fu,e_vasp_ref,type,natom,e_vasp_pa
58,2LFP-28759-3100-3 RELAX U=4.0,pbe,2LFP-28759-3100-3,0c5738bb-8e32-4e70-9313-7b3480ab93bf,452834,-191.887079,-47.97176975,4.0,360.3127273561094,90.07818183902735,0.03843106499999749,AIRSS,28.0,0.0054901521428567844
61,2LFP-31117-9610-1 RELAX U=4.0,pbe,2LFP-31117-9610-1,badba929-654c-428f-97c3-43e20dda9d4d,451928,-191.74276528,-47.93569132,4.0,363.45488604412054,90.86372151103014,0.07450949500000092,AIRSS,28.0,0.010644213571428704
63,2LFP-31118-9894-1 RELAX U=4.0,pbe,2LFP-31118-9894-1,385fbf54-d2c8-4007-aca5-6feffbffe6b2,452876,-191.67459835,-47.9186495875,4.0,292.2747326066706,73.06868315166766,0.09155122749999833,AIRSS,28.0,0.013078746785714048
65,2LFP-31578-197-10 RELAX U=4.0,pbe,2LFP-31578-197-10,ef41b4ab-95c3-45ce-a10d-2eb67e7a186e,452888,-191.1710597,-47.792764925,4.0,318.02310719280297,79.50577679820074,0.2174358899999973,AIRSS,28.0,0.031062269999999614
66,2LFP-4008-7075-2 RELAX U=4.0,pbe,2LFP-4008-7075-2,1937a476-193d-4a4a-a9b4-7183f5eccf3f,451646,-191.48304201,-47.8707605025,4.0,359.58532331617073,89.89633082904268,0.13944031249999966,AIRSS,28.0,0.019920044642857095
68,2LFP-4008-7075-4 RELAX U=4.0,pbe,2LFP-4008-7075-4,d80f1ee1-2158-4e36-80c4-2fe02e24193d,452897,-191.79778266,-47.949445665,4.0,363.23193206553003,90.80798301638251,0.06075514999999854,AIRSS,28.0,0.008679307142856934
69,2LFP-4008-7075-8 RELAX U=4.0,pbe,2LFP-4008-7075-8,f5b5dfa4-96d6-4906-b382-802e9218bdb2,451691,-191.82284962,-47.955712405,4.0,359.7128906651107,89.92822266627768,0.0544884099999976,AIRSS,28.0,0.0077840585714282285
71,2LFP-4952-474-2 RELAX U=4.0,pbe,2LFP-4952-474-2,8b6aa7d9-bd00-4997-a072-f7b436781e36,451323,-191.51179575,-47.8779489375,4.0,356.54665403734293,89.13666350933573,0.13225187749999634,AIRSS,28.0,0.018893125357142333
72,2LFP-6321-192-5 RELAX U=4.0,pbe,2LFP-6321-192-5,3a9080e6-3bb0-4941-aad8-70a580545480,452939,-191.53300968,-47.88325242,4.0,358.620989318679,89.65524732966975,0.12694839499999944,AIRSS,28.0,0.01813548499999992
73,2LFP-6321-192-6 RELAX U=4.0,pbe,2LFP-6321-192-6,55288916-00c1-451b-baa4-dfb1d6a6da99,451833,-191.29360406,-47.823401015,4.0,338.0256690727637,84.50641726819093,0.18679979999999574,AIRSS,28.0,0.026685685714285107
75,2LFP-6808-1499-4 RELAX U=4.0,pbe,2LFP-6808-1499-4,a2aa476f-b591-4fb3-a9c8-1fa4c5672d45,452564,-191.52058786,-47.880146965,4.0,339.59000754761183,84.89750188690296,0.13005384999999592,AIRSS,28.0,0.018579121428570846
77,2LFP-7473-8062-7 RELAX U=4.0,pbe,2LFP-7473-8062-7,4de35f51-1bd5-4dfa-8077-5b8bec0368b4,451627,-191.42148702,-47.855371755,4.0,353.24712641296804,88.31178160324201,0.1548290599999973,AIRSS,28.0,0.022118437142856755
80,2LFP-7943-4425-6 RELAX U=4.0,pbe,2LFP-7943-4425-6,8333ee5c-e949-46b4-9420-f5049d09f0c4,452131,-191.2943372,-47.8235843,4.0,338.262476916071,84.56561922901776,0.1866165149999972,AIRSS,28.0,0.026659502142856745
82,2LFP-9122-6374-3 RELAX U=4.0,pbe,2LFP-9122-6374-3,2bfab52a-8ab1-4b30-b59b-bf97c919e18c,453011,-191.27627312,-47.81906828,4.0,367.7804666041894,91.94511665104736,0.19113253499999416,AIRSS,28.0,0.027304647857142022
83,2LFP-9456-216-5 RELAX U=4.0,pbe,2LFP-9456-216-5,40f6a42e-1db0-4f00-9f01-3afee40559ba,451971,-191.2845514,-47.82113785,4.0,293.69137481454044,73.42284370363511,0.18906296499999797,AIRSS,28.0,0.02700899499999971
86,2LFP_REF-mp-19017 RELAX U=4.0,pbe,2LFP_REF-mp-19017,ac6aed36-246b-4016-82cf-3dc4d550a78b,451564,-192.04080326,-48.010200815,4.0,300.4033548283172,75.1008387070793,0.0,MP,28.0,0.0
88,2LFP_REF-mp-26041 RELAX U=4.0,pbe,2LFP_REF-mp-26041,9d6a8841-6816-4515-94fd-430f35c73047,451376,-191.96509558,-47.991273895,4.0,356.436039395066,89.1090098487665,0.018926919999998404,MP,28.0,0.002703845714285486
90,2LFP_REF-mp-26559 RELAX U=4.0,pbe,2LFP_REF-mp-26559,ea1c14c3-acf0-427f-9489-ca1fbc8d3b70,452794,-191.19800697,-47.7995017425,4.0,354.20133115643506,88.55033278910877,0.21069907249999886,MP,28.0,0.03009986749999984
91,2LFP_REF-mp-26791 RELAX U=4.0,pbe,2LFP_REF-mp-26791,66fc3723-d805-417b-8125-0a7f1cc6e84f,452179,-190.99062731,-47.7476568275,4.0,346.0047928254859,86.50119820637147,0.2625439874999955,MP,28.0,0.03750628392857079
94,2LFP_REF-mp-504184 RELAX U=4.0,pbe,2LFP_REF-mp-504184,be973056-4abd-4304-8533-4dbe5508fac8,451448,-191.90425179,-47.9760629475,4.0,354.6593012773858,88.66482531934645,0.03413786750000014,MP,28.0,0.004876838214285735
96,2LFP_REF-mp-756958 RELAX U=4.0,pbe,2LFP_REF-mp-756958,8ce1f337-a582-463f-873a-e31f0fe81bff,451753,-192.03484803,-48.0087120075,4.0,365.75747251463844,91.43936812865961,0.0014888074999959144,MP,28.0,0.00021268678571370207
97,2LFP_REF-mp-757019 RELAX U=4.0,pbe,2LFP_REF-mp-757019,941cc5c2-6e4b-4f6b-934d-aded9e6df868,451863,-190.55006583,-47.6375164575,4.0,309.533496346081,77.38337408652025,0.37268435749999895,MP,28.0,0.05324062249999985
100,2LFP_REF-mp-772210 RELAX U=4.0,pbe,2LFP_REF-mp-772210,5fd5f096-9dd2-4c00-a33b-14dafebd0e93,450983,-95.91451908,-47.95725954,2.0,177.67359377040387,88.83679688520193,0.0529412749999949,MP,14.0,0.0075630392857135575
101,2LFP_REF-mp-850917 RELAX U=4.0,pbe,2LFP_REF-mp-850917,551e867a-4480-4217-93e2-d872226a2a7d,451546,-191.28205113,-47.8205127825,4.0,293.19116678552086,73.29779169638022,0.1896880324999941,MP,28.0,0.027098290357142014
104,LFP-11376-1071-12 RELAX U=4.0,pbe,LFP-11376-1071-12,678fe609-5665-4254-8931-f8bd694c8d21,451170,-95.92547163,-47.962735815,2.0,179.37257365416704,89.68628682708352,0.04746499999999543,AIRSS,14.0,0.006780714285713633
106,LFP-11376-1071-3 RELAX U=4.0,pbe,LFP-11376-1071-3,c424fa66-f154-4786-99a4-fb6b98d422b0,451034,-95.76298016,-47.88149008,2.0,176.58189210818867,88.29094605409433,0.12871073499999852,AIRSS,14.0,0.018387247857142647
108,LFP-12154-4940-4 RELAX U=4.0,pbe,LFP-12154-4940-4,a5c34b1d-0024-49f9-86dc-8b068c6d9ed5,452184,-95.55780086,-47.77890043,2.0,159.47735844528654,79.73867922264327,0.23130038499999728,AIRSS,14.0,0.033042912142856755
110,LFP-12156-6732-2 RELAX U=4.0,pbe,LFP-12156-6732-2,bad3666f-fcd6-4b0c-a2de-ab80c19f019b,452221,-95.68523785,-47.842618925,2.0,159.27650573498968,79.63825286749484,0.167581890000001,AIRSS,14.0,0.023940270000000145
113,LFP-12593-8953-26 RELAX U=4.0,pbe,LFP-12593-8953-26,80c3953b-f7bc-492e-9cea-fc6ed8215095,451618,-95.55742893,-47.778714465,2.0,159.4430212498381,79.72151062491905,0.2314863499999973,AIRSS,14.0,0.03306947857142818
